"gene_id","gene_symbol","gene_name"
"MMT00000003",NA,NA
"MMT00000004",NA,NA
"MMT00000006","Zfp262","zinc finger protein 262"
"MMT00000007","Slc25a27","solute carrier family 25, member 27"
"MMT00000014","Mrpl45","mitochondrial ribosomal protein L45"
"MMT00000015","2310015N21Rik","RIKEN cDNA 2310015N21 gene"
"MMT00000016","1300006C06Rik","RIKEN cDNA 1300006C06 gene"
"MMT00000020",NA,NA
"MMT00000024","1700003E24Rik","RIKEN cDNA 1700003E24 gene"
"MMT00000025","Pcyt1b","phosphate cytidylyltransferase 1, choline, beta isoform"
"MMT00000030","9830168K20",NA
"MMT00000034","Pdlim7","PDZ and LIM domain 7"
"MMT00000041","C230017K02Rik","RIKEN cDNA C230017K02 gene"
"MMT00000044","1700007N18Rik","RIKEN cDNA 1700007N18 gene"
"MMT00000046","Mast2","microtubule associated serine/threonine kinase 2"
"MMT00000051","Ankrd32","ankyrin repeat domain 32"
"MMT00000056","C230052I12Rik","RIKEN cDNA C230052I12 gene"
"MMT00000059","2610507L03Rik","RIKEN cDNA 2610507L03 gene"
"MMT00000061","1110014J05Rik","RIKEN cDNA 1110014J05 gene"
"MMT00000063","Rnut1","RNA, U transporter 1"
"MMT00000064",NA,NA
"MMT00000070","Kcnab2","potassium voltage-gated channel, shaker-related subfamily, beta member 2"
"MMT00000076",NA,NA
"MMT00000080","Ldb2","LIM domain binding 2"
"MMT00000081","Strn3","striatin, calmodulin binding protein 3"
"MMT00000083","Coro1a","coronin, actin binding protein 1A"
"MMT00000084",NA,NA
"MMT00000087","1700041C23Rik","RIKEN cDNA 1700041C23 gene"
"MMT00000088","2810037C14Rik","RIKEN cDNA 2810037C14 gene"
"MMT00000090","Selp","selectin, platelet"
"MMT00000091","Mep1a","meprin 1 alpha"
"MMT00000100","8430408G22Rik","RIKEN cDNA 8430408G22 gene"
"MMT00000102","Rdhs",NA
"MMT00000108","AI605202","expressed sequence AI605202"
"MMT00000109",NA,NA
"MMT00000111",NA,NA
"MMT00000112","Galp",NA
"MMT00000116","Cnr1","cannabinoid receptor 1 (brain)"
"MMT00000117","Abca4","ATP-binding cassette, sub-family A (ABC1), member 4"
"MMT00000119","Prkra","protein kinase, interferon inducible double stranded RNA dependent activator"
"MMT00000121","Cml3","camello-like 3"
"MMT00000125",NA,NA
"MMT00000126","2410075D05Rik","RIKEN cDNA 2410075D05 gene"
"MMT00000127","Mpv17l","Mpv17 transgene, kidney disease mutant-like"
"MMT00000130","Olfr643","olfactory receptor 643"
"MMT00000131","Cntn6","contactin 6"
"MMT00000133",NA,NA
"MMT00000135","Tcf4","transcription factor 4"
"MMT00000139","Naga","N-acetyl galactosaminidase, alpha"
"MMT00000143","Slc5a6","solute carrier family 5 (sodium-dependent vitamin transporter), member 6"
"MMT00000149","Ak2","adenylate kinase 2"
"MMT00000153",NA,NA
"MMT00000154",NA,NA
"MMT00000159","Cdc2a","cell division cycle 2 homolog A (S. pombe)"
"MMT00000164","BC065791","cDNA sequence BC065791"
"MMT00000167","Foxf1a","forkhead box F1a"
"MMT00000171","Glo1","glyoxalase 1"
"MMT00000180","2810484M10Rik","RIKEN cDNA 2810484M10 gene"
"MMT00000186","Acox3","acyl-Coenzyme A oxidase 3, pristanoyl"
"MMT00000187","Sval2","seminal vesicle antigen-like 2"
"MMT00000189","Cgref1","cell growth regulator with EF hand domain 1"
"MMT00000193","Usp26","ubiquitin specific protease 26"
"MMT00000200","BC027373","cDNA sequence BC027373"
"MMT00000207","Akap13","A kinase (PRKA) anchor protein 13"
"MMT00000212","2610029K21Rik","RIKEN cDNA 2610029K21 gene"
"MMT00000213","Olfr681","olfactory receptor 681"
"MMT00000222","Odz3","odd Oz/ten-m homolog 3 (Drosophila)"
"MMT00000223","Gad1","glutamic acid decarboxylase 1"
"MMT00000227",NA,NA
"MMT00000231","Pa2g4","proliferation-associated 2G4"
"MMT00000233","Olfr684","olfactory receptor 684"
"MMT00000237",NA,NA
"MMT00000239",NA,"gene model 1060, (NCBI)"
"MMT00000241",NA,NA
"MMT00000243",NA,NA
"MMT00000245","Xpc","xeroderma pigmentosum, complementation group C"
